TRADE_DATE,ASSET_TYPE,CLOSE_PRICE
2022-05-27,BTC,28589.5
2022-05-28,BTC,29020.75
2022-05-29,BTC,29442.5
2022-05-30,BTC,31718.75
2022-05-31,BTC,31773
2022-06-01,BTC,29782.5
2022-06-02,BTC,30428.25
2022-06-03,BTC,29684
2022-06-04,BTC,29832
2022-06-05,BTC,29893.5
2022-06-06,BTC,31345.5
2022-06-07,BTC,31107
2022-06-08,BTC,30190.75
2022-06-09,BTC,30075.75
2022-06-10,BTC,29069.5
2022-06-11,BTC,28381.25
2022-06-12,BTC,26565.5
2022-06-13,BTC,22449.5
2022-06-14,BTC,22119
2022-06-15,BTC,22565.5
2022-06-16,BTC,20374.25
2022-06-17,BTC,20441.25
2022-06-18,BTC,18948
2022-06-19,BTC,20557
2022-06-20,BTC,20556
2022-06-21,BTC,20704.25
2022-06-22,BTC,19965.25
2022-06-23,BTC,21093.25
2022-06-24,BTC,21217
2022-06-25,BTC,21485.25
2022-06-26,BTC,21032.75
2022-06-27,BTC,20722
2022-06-28,BTC,20258.25
2022-06-29,BTC,20060.5
2022-06-30,BTC,19936.25
2022-07-01,BTC,19255.5
2022-07-02,BTC,19225.5
2022-07-03,BTC,19296.25
2022-07-04,BTC,20217.75
2022-07-05,BTC,20160.25
2022-07-06,BTC,20547
2022-07-07,BTC,21625.75
2022-07-08,BTC,21589
2022-07-09,BTC,21580
2022-07-10,BTC,20848.25
2022-07-11,BTC,19949.5
2022-07-12,BTC,19313.75
2022-07-13,BTC,20230.5
2022-07-14,BTC,20577
2022-07-15,BTC,20829.25
2022-07-16,BTC,21200.25
2022-07-17,BTC,20792.5
2022-07-18,BTC,22441.25
2022-07-19,BTC,23404.5
2022-07-20,BTC,23226.5
2022-07-21,BTC,23156.75
2022-07-22,BTC,22688
2022-07-23,BTC,22463.5
2022-07-24,BTC,22588.25
2022-07-25,BTC,21305.75
2022-07-26,BTC,20896
2021-07-01,ETH,2109.55
2021-07-02,ETH,2155.8
2021-07-03,ETH,2227.2
2021-07-04,ETH,2323.85
2021-07-05,ETH,2195.4
2021-07-06,ETH,2323.3
2021-07-07,ETH,2316.8
2021-07-08,ETH,2115.95
2021-07-09,ETH,2147
2021-07-10,ETH,2110.35
2021-07-11,ETH,2138.85
2021-07-12,ETH,2034.55
2021-07-13,ETH,1940.2
2021-07-14,ETH,1994.2
2021-07-15,ETH,1917.6
2021-07-16,ETH,1878.95
2021-07-17,ETH,1899.9
2021-07-18,ETH,1891.25
2021-07-19,ETH,1818.25
2021-07-20,ETH,1785.5
2021-07-21,ETH,1994.55
2021-07-22,ETH,2025.35
2021-07-23,ETH,2123.3
2021-07-24,ETH,2186.65
2021-07-25,ETH,2191.5
2021-07-26,ETH,2230
2021-07-27,ETH,2301.45
2021-07-28,ETH,2300.15
2021-07-29,ETH,2380.65
2021-07-30,ETH,2463.05
2021-07-31,ETH,2532.7
2021-08-01,ETH,2557
2021-08-02,ETH,2609.1
2021-08-03,ETH,2508.7
2021-08-04,ETH,2725.6
2021-08-05,ETH,2828.9
2021-08-06,ETH,2889.8
2021-08-07,ETH,3162.1
2021-08-08,ETH,3015.7
2021-08-09,ETH,3164.6
2021-08-10,ETH,3142.1
2021-08-11,ETH,3163.8
2021-08-12,ETH,3041.95
2021-08-13,ETH,3324.35
2021-08-14,ETH,3264.9
2021-08-15,ETH,3311.25
2021-08-16,ETH,3147.1
2021-08-17,ETH,3014.05
2021-08-18,ETH,3011.7
2021-08-19,ETH,3186.75
2021-08-20,ETH,3284
2021-08-21,ETH,3226.3
2021-08-22,ETH,3241.7
2021-08-23,ETH,3322.6
2021-08-24,ETH,3173.35
2021-08-25,ETH,3229.55
2021-08-26,ETH,3089.65
2021-08-27,ETH,3277
2021-08-28,ETH,3246.65
2021-08-29,ETH,3226.4
2021-08-30,ETH,3227.8
2021-08-31,ETH,3432.95
2021-09-01,ETH,3830.1
2021-09-02,ETH,3787.85
2021-09-03,ETH,3938.5
2021-09-04,ETH,3886.7
2021-09-05,ETH,3952.4
2021-09-06,ETH,3929.4
2021-09-07,ETH,3432.85
2021-09-08,ETH,3496.1
2021-09-09,ETH,3423.95
2021-09-10,ETH,3206.85
2021-09-11,ETH,3267.2
2021-09-12,ETH,3408.2
2021-09-13,ETH,3285.25
2021-09-14,ETH,3433.75
2021-09-15,ETH,3616.2
2021-09-16,ETH,3568.55
2021-09-17,ETH,3398.5
2021-09-18,ETH,3434.8
2021-09-19,ETH,3329.15
2021-09-20,ETH,2978
2021-09-21,ETH,2764.65
2021-09-22,ETH,3078.9
2021-09-23,ETH,3155.1
2021-09-24,ETH,2930.5
2021-09-25,ETH,2925.2
2021-09-26,ETH,3063.95
2021-09-27,ETH,2926.15
2021-09-28,ETH,2806.55
2021-09-29,ETH,2851.25
2021-09-30,ETH,3002.05
2021-10-01,ETH,3309.5
2021-10-02,ETH,3389.15
2021-10-03,ETH,3419.15
2021-10-04,ETH,3382.55
2021-10-05,ETH,3516.55
2021-10-06,ETH,3577.3
2021-10-07,ETH,3587.35
2021-10-08,ETH,3560.05
2021-10-09,ETH,3574.05
2021-10-10,ETH,3419.85
2021-10-11,ETH,3544.3
2021-10-12,ETH,3490
2021-10-13,ETH,3607.15
2021-10-14,ETH,3790.1
2021-10-15,ETH,3869.55
2021-10-16,ETH,3826
2021-10-17,ETH,3846.25
2021-10-18,ETH,3747.75
2021-10-19,ETH,3877.35
2021-10-20,ETH,4165.25
2021-10-21,ETH,4052.75
2021-10-22,ETH,3971.1
2021-10-23,ETH,4170
2021-10-24,ETH,4082.45
2021-10-25,ETH,4220.05
2021-10-26,ETH,4129.9
2021-10-27,ETH,3925
2021-10-28,ETH,4288.75
2021-10-29,ETH,4418.95
2021-10-30,ETH,4325.9
2021-10-31,ETH,4290.55
2021-11-01,ETH,4323.7
2021-11-02,ETH,4593
2021-11-03,ETH,4605.25
2021-11-04,ETH,4537.75
2021-11-05,ETH,4480.55
2021-11-06,ETH,4522.95
2021-11-07,ETH,4617.25
2021-11-08,ETH,4811.6
2021-11-09,ETH,4732.95
2021-11-10,ETH,4637.75
2021-11-11,ETH,4724.5
2021-11-12,ETH,4668.65
2021-11-13,ETH,4646.25
2021-11-14,ETH,4627.85
2021-11-15,ETH,4570
2021-11-16,ETH,4213
2021-11-17,ETH,4290.45
2021-11-18,ETH,4003.55
2021-11-19,ETH,4300.15
2021-11-20,ETH,4416.4
2021-11-21,ETH,4265.05
2021-11-22,ETH,4088.75
2021-11-23,ETH,4341.95
2021-11-24,ETH,4273.1
2021-11-25,ETH,4524.95
2021-11-26,ETH,4039.15
2021-11-27,ETH,4101
2021-11-28,ETH,4295.35
2021-11-29,ETH,4449.75
2021-11-30,ETH,4624.9
2021-12-01,ETH,4588.55
2021-12-02,ETH,4515.9
2021-12-03,ETH,4221.65
2021-12-04,ETH,4126.75
2021-12-05,ETH,4201.7
2021-12-06,ETH,4355.8
2021-12-07,ETH,4310.95
2021-12-08,ETH,4441.8
2021-12-09,ETH,4108.5
2021-12-10,ETH,3903.15
2021-12-11,ETH,4078.95
2021-12-12,ETH,4133.3
2021-12-13,ETH,3784.55
2021-12-14,ETH,3863.4
2021-12-15,ETH,4021.35
2021-12-16,ETH,3957.45
2021-12-17,ETH,3880.65
2021-12-18,ETH,3961.5
2021-12-19,ETH,3925.4
2021-12-20,ETH,3946.2
2021-12-21,ETH,4016.95
